AgingMOSFET0X,AgingMOSFET0Y,AgingMOSFET5X,AgingMOSFET5Y,AgingMOSFET2X,AgingMOSFET2Y,AgingMOSFET6X,AgingMOSFET6Y,AgingMOSFET7X,AgingMOSFET7Y
0.012563932,3.274069095,0.017716959,3.410605781,0.003975555,3.185077424,0.003975555,3.151813655,-0.002895147,3.080629188
0.052070469,3.315042667,0.072682575,3.446530652,0.052070469,3.221667571,0.052070469,3.189734352,0.038329065,3.114336474
0.093294682,3.349400445,0.127648192,3.481790248,0.093294682,3.254487823,0.093294682,3.223441638,0.079553277,3.149817829
0.140408067,3.385135237,0.182613808,3.516384568,0.134518894,3.287308076,0.134518894,3.256261891,0.12077749,3.185299183
0.175743106,3.416460204,0.237579425,3.552974714,0.175743106,3.32278943,0.175743106,3.291743245,0.168872404,3.268236848
0.216967319,3.44963527,0.292545041,3.586903759,0.237579425,3.40927523,0.216967319,3.325450531,0.162001702,3.220780537
0.264080704,3.48429295,0.347510658,3.623493905,0.216967319,3.354722648,0.258191531,3.358270784,0.203225915,3.256261891
0.303996212,3.516606326,0.395605573,3.652766022,0.251320829,3.382664215,0.299415744,3.392865104,0.244450127,3.291743245
0.340639956,3.548539545,0.45842342,3.678996881,0.299415744,3.422137221,0.340639956,3.42657239,0.285674339,3.327224599
0.381864168,3.582246831,0.512407508,3.712973445,0.340639956,3.455844507,0.381864168,3.460279677,0.326898552,3.363592987
0.431676758,3.615510601,0.569663358,3.750280611,0.381864168,3.487777726,0.423088381,3.493986963,0.368122764,3.398187307
0.464312593,3.649395294,0.622338741,3.786486376,0.429959083,3.564949671,0.464312593,3.527694249,0.409346977,3.433668661
0.509462921,3.683812207,0.670433655,3.823076522,0.423088381,3.52325908,0.505536806,3.563175603,0.436829785,3.509066538
0.546761018,3.719293561,0.725399272,3.856340291,0.469809155,3.602737313,0.546761018,3.59688289,0.450571189,3.470037049
0.593874404,3.757309298,0.773494186,3.889604061,0.464312593,3.555635816,0.58798523,3.630590176,0.505536806,3.517049843
0.636080145,3.788925719,0.835330505,3.925972449,0.51927821,3.623493905,0.629209443,3.665184496,0.574243826,3.601318059
0.678285886,3.82041542,0.876554717,3.957905667,0.55363172,3.66607153,0.670433655,3.698004749,0.546761018,3.552531197
0.71852857,3.847026436,0.910908228,3.997378674,0.51927821,3.599543991,0.711657868,3.732599069,0.574243826,3.575594077
0.746011378,3.882951307,0.962438493,4.03396882,0.567373124,3.639460515,0.75288208,3.767193389,0.629209443,3.624380939
0.797541643,3.915217163,0.995646886,4.062575662,0.615468039,3.678490004,0.794106292,3.800900676,0.670433655,3.658088226
0.842201207,3.954801049,1.107410307,4.056721238,0.656692251,3.711310257,0.835330505,3.835494996,0.711657868,3.694456613
0.869684015,3.983407891,1.18573631,4.067897865,0.711657868,3.743243475,0.876554717,3.868315248,0.75288208,3.730825001
0.907472877,4.018002211,1.268184735,4.080759856,0.759752782,3.768080423,0.91777893,3.902022535,0.791358012,3.773580033
0.945261738,4.04993543,1.330021054,4.097835257,0.800976995,3.802231226,0.959003142,3.937503889,0.849071909,3.81331915
1.007098057,4.090073711,1.357503862,4.093621847,0.842201207,3.835938513,1.020839461,3.966332489,0.890296121,3.848800504
1.089546481,4.104561931,1.433081585,4.103822736,0.883425419,3.87097635,1.103287885,3.977420412,0.956254861,3.914086195
1.171994906,4.118015278,1.51553001,4.117276083,0.91777893,3.903441789,1.18573631,3.987621301,0.924649632,3.878959655
1.254443331,4.128511845,1.597978434,4.130433752,0.945261738,3.94460016,1.268184735,3.998265708,1.034580865,3.942826092
1.336891756,4.139599768,1.680426859,4.146252522,1.007098057,3.983186132,1.35063316,4.008466597,1.11702929,3.955244566
1.419340181,4.154827182,1.767782928,4.160022666,1.089546481,3.996935157,1.433081585,4.019111003,1.199477714,3.967219523
1.501788605,4.1666543,1.84875906,4.17400929,1.171994906,4.007579563,1.51553001,4.029755409,1.247572629,4.014675834
1.58423703,4.179220613,1.927772134,4.18986502,1.254443331,4.018223969,1.597978434,4.040399816,1.281926139,3.978307446
1.666685455,4.190308537,2.010220558,4.193413155,1.336891756,4.028424859,1.680426859,4.051044222,1.364374564,3.99072592
1.74913388,4.20139646,2.092668983,4.208049214,1.419340181,4.039069265,1.762875284,4.061245111,1.446822989,4.002700877
1.831582305,4.212484383,2.173743268,4.224370636,1.501788605,4.049713671,1.845323709,4.071446,1.529271414,4.014232317
1.914030729,4.224015823,2.257565833,4.244861118,1.58423703,4.060358077,1.927772134,4.081203373,1.611719838,4.025763757
1.996479154,4.235103746,2.340014258,4.255949042,1.666685455,4.070558967,2.010220558,4.091847779,1.694168263,4.037738714
2.078927579,4.246191669,2.422462682,4.26481938,1.74913388,4.081203373,2.092668983,4.102492185,1.721651072,4.05991456
2.161376004,4.257279592,2.504911107,4.275463786,1.831582305,4.091847779,2.175117408,4.112693075,1.780739109,4.049802374
2.243824429,4.267923999,2.587359532,4.28359493,1.914030729,4.102492185,2.257565833,4.123337481,1.859065113,4.061245111
2.326272854,4.279455439,2.669807957,4.294682853,1.996479154,4.113136591,2.340014258,4.133094853,1.941513538,4.073663585
2.408721278,4.290986879,2.752256382,4.307397005,2.08236293,4.115465055,2.422462682,4.143739259,2.023961963,4.084751508
2.491169703,4.302074802,2.834704807,4.320702513,2.161376004,4.134425404,2.504911107,4.154383666,2.106410387,4.096726465
2.573618128,4.312719208,2.917153231,4.332233953,2.243824429,4.144626293,2.587359532,4.165471589,2.188858812,4.107370871
2.656066553,4.324250648,2.999601656,4.343321876,2.326272854,4.155270699,2.669807957,4.176115995,2.264436535,4.117926574
2.738514978,4.335338571,3.082050081,4.354557638,2.408721278,4.166358623,2.752256382,4.186316884,2.34688496,4.129103201
2.820963402,4.346426494,3.164498506,4.367123951,2.491169703,4.176559512,2.834704807,4.196517773,2.420172448,4.147730912
2.903411827,4.357957934,3.24351158,4.372372235,2.573618128,4.187203918,2.917153231,4.20716218,2.484299001,4.147730912
2.985860252,4.368602341,3.324051476,4.380922255,2.656066553,4.196813451,2.999601656,4.217806586,2.662937255,4.17966413
3.068308677,4.380133781,3.406936136,4.3974943,2.738514978,4.20568379,3.082050081,4.228450992,2.807221998,4.209379764
3.150757102,4.391221704,3.495273734,4.41194028,2.820963402,4.213962773,3.164498506,4.239095398,2.889670423,4.219432815
3.233205526,4.402309627,3.57674063,4.436016913,2.903411827,4.222537433,3.246946931,4.248852771,2.972118848,4.229781543
3.315653951,4.413841067,3.659189055,4.450209455,2.985860252,4.231851289,3.329395355,4.25905366,3.054567273,4.240425949
3.398102376,4.424485473,3.741637479,4.463514963,3.068308677,4.249148449,3.41184378,4.269254549,3.137015697,4.251366033
3.480550801,4.435573397,3.824085904,4.475046403,3.150757102,4.258610143,3.494292205,4.279898956,3.219464122,4.262453956
3.562999226,4.44666132,3.906534329,4.487464877,3.233205526,4.264375863,3.57674063,4.290543362,3.301912547,4.274133236
3.64544765,4.457305726,3.988982754,4.499439834,3.315653951,4.276646498,3.659189055,4.301187768,3.384360972,4.285221159
3.727896075,4.468393649,4.078301881,4.512301825,3.398102376,4.287586582,3.741637479,4.311388657,3.466809397,4.296752599
3.8103445,4.479481572,4.153879603,4.520728646,3.480550801,4.298526666,3.824085904,4.321589547,3.549257822,4.307840522
3.892792925,4.490569495,4.236328028,4.531373053,3.562999226,4.30961459,3.906534329,4.331790436,3.631706246,4.318928445
3.97524135,4.501213902,4.318776453,4.541130425,3.64544765,4.321589547,3.988982754,4.342434842,3.714154671,4.330016368
4.057689775,4.509197206,4.401224878,4.551331314,3.727896075,4.332233953,4.071431179,4.34997463,3.796603096,4.341547808
4.140138199,4.514075892,4.483673303,4.561532203,3.8103445,4.343765393,4.153879603,4.358401451,3.879051521,4.352635731
4.222586624,4.518954579,4.566121728,4.571289576,3.892792925,4.354853316,4.236328028,4.365941239,3.961499946,4.363280138
4.302090462,4.512681982,4.648570152,4.581046948,3.97524135,4.366384756,4.318776453,4.373481027,4.04394837,4.376437806
4.387483474,4.515406443,4.731018577,4.591691354,4.057689775,4.385899501,4.401224878,4.381020815,4.126396795,4.380577298
4.476802601,4.514075892,4.8065963,4.601182617,4.140138199,4.408962381,4.483673303,4.388560602,4.20884522,4.389004119
4.552380323,4.525222951,4.937139639,4.616084785,4.222586624,4.431138227,4.566121728,4.396543907,4.291293645,4.397874458
4.637773335,4.532792307,5.019588064,4.627172708,4.305035049,4.45375759,4.648570152,4.403640178,4.37374207,4.406301279
4.712369529,4.539318341,5.102036489,4.636930081,4.371451836,4.4697242,4.731018577,4.411623483,4.456190494,4.415171618
4.799725598,4.545565594,5.173033744,4.646243936,4.490544005,4.505737774,4.813467002,4.41916327,4.538638919,4.424041956
4.882174023,4.553548899,5.280674743,4.660879995,4.566121728,4.533590637,4.895915427,4.426703058,4.621087344,4.432025261
4.964622447,4.562419237,5.363123167,4.671524401,4.648570152,4.543791526,4.978363852,4.43512988,4.703535769,4.4408956
5.047070872,4.574689872,5.445571592,4.682168807,4.731018577,4.56774144,5.060812276,4.444887252,4.785984194,4.449765938
5.132463884,4.587496951,5.555502825,4.696361349,4.813467002,4.592134871,5.143260701,4.456418692,4.868432619,4.457749243
5.211967722,4.605883896,5.63795125,4.707449272,4.895915427,4.613423684,5.225709126,4.467950132,4.950881043,4.466176064
5.294416147,4.636486564,5.720399675,4.717650161,4.978363852,4.636043047,5.308157551,4.479481572,5.033329468,4.473715852
5.376864572,4.656444826,5.8028481,4.728738084,5.060812276,4.643139318,5.390605976,4.491013012,5.115777893,4.479038055
5.464220641,4.672157997,5.885296525,4.739382491,5.143260701,4.646687453,5.4730544,4.502100935,5.198226318,4.484360258
5.538816835,4.694017045,5.967744949,4.750026897,5.225709126,4.64713097,5.555502825,4.513632375,5.280674743,4.490125978
5.507407911,4.65866241,6.050193374,4.76111482,5.308157551,4.64713097,5.63795125,4.524276782,5.363123167,4.495448182
5.624209846,4.719867746,6.132641799,4.773089777,5.390605976,4.657627537,5.720399675,4.535808222,5.411218082,4.498996317
5.706658271,4.740269525,6.215090224,4.7841777,5.479925103,4.67019385,5.8028481,4.547783179,5.555502825,4.506979622
5.789106696,4.761558337,6.297538649,4.796596174,5.555502825,4.661323512,5.885296525,4.558427585,5.63795125,4.513632375
5.87155512,4.782403633,6.379987073,4.808571131,5.617339144,4.663984613,5.967744949,4.570846059,5.720399675,4.518511062
5.954003545,4.802361894,6.462435498,4.820102571,5.7382635,4.668242376,6.050193374,4.581490465,5.8028481,4.524276782
6.03645197,4.821433122,6.531142519,4.830303461,5.815215363,4.671435698,6.132641799,4.592134871,5.885296525,4.530042502
6.118900395,4.838286765,6.641073752,4.845383036,5.905908631,4.67516124,6.215090224,4.602779278,5.967744949,4.535808222
6.20134882,4.854253375,6.723522177,4.857357993,6.022710566,4.679951223,6.297538649,4.613423684,6.03645197,4.558205827
6.283797244,4.870219984,6.805970602,4.868889433,6.118900395,4.6976919,6.379987073,4.62406809,6.091417587,4.586812668
6.366245669,4.886186593,6.888419026,4.880420873,6.20134882,4.710553891,6.462435498,4.634712496,6.153253905,4.618213667
6.448694094,4.902153203,6.970867451,4.891360957,6.283797244,4.718093678,6.544883923,4.645356902,6.221960926,4.653340207
6.531142519,4.918119812,7.053315876,4.902744558,6.365482258,4.744409016,6.627332348,4.656001309,6.283797244,4.683942875
6.613590944,4.934086421,7.135764301,4.912206253,6.331892159,4.715432577,6.709780773,4.666645715,6.315402474,4.715609983
6.696039369,4.95005303,7.218212726,4.924329049,6.453601738,4.753321594,6.792229197,4.677290121,6.393728478,4.739826008
6.778487793,4.96601964,7.302035291,4.93222365,6.531142519,4.759340752,6.874677622,4.687934527,6.476176902,4.751357448
6.860936218,4.982429766,7.386232622,4.929369014,6.613590944,4.772202743,6.957126047,4.698578934,6.510530413,4.802894114
6.943384643,4.997952858,7.468306281,4.940739175,6.696039369,4.784621217,7.039574472,4.710997407,6.558625327,4.763775922
7.025833068,5.0121454,7.550754706,4.950319141,6.778487793,4.798370242,7.122022897,4.725189949,6.579237433,4.836956214
7.108281493,5.021902772,7.513652915,4.919450363,6.860936218,4.810345199,7.204471322,4.739826008,6.641073752,4.869554708
7.190729917,5.031660145,7.63045485,4.964356451,6.943384643,4.822320156,7.286919746,4.753131515,6.702910071,4.900290431
7.273178342,5.041861034,7.709958688,4.974573181,7.025833068,4.832964562,7.369368171,4.768211091,6.771617091,4.935949192
7.355626767,5.05117489,7.792407113,4.985597744,7.108281493,4.840060833,7.451816596,4.782403633,6.83345341,4.968015466
7.438075192,5.061375779,7.877800124,4.998839892,7.190729917,4.845826553,7.534265021,4.796152657,6.895289728,4.99981563
7.520523617,5.071133151,7.960248549,5.013475951,7.273178342,4.852479307,7.616713446,4.810345199,6.96674503,5.033877729
7.602972041,5.080890524,,,7.355626767,4.859132061,7.69916187,4.82453774,7.029955489,5.03494217
7.685420466,5.090647896,,,7.433167547,4.870410063,7.781610295,4.838286765,7.108281493,5.004605612
7.767868891,5.100848785,,,7.520523617,4.867263204,7.86405872,4.852479307,7.190729917,4.972672394
7.850317316,5.110162641,,,7.602972041,4.878646805,7.946507145,4.867558882,7.273178342,4.940739175
7.932765741,5.119920013,,,7.685420466,4.885299559,7.994602059,4.874211636,7.328143959,4.919450363
7.987731357,5.127016284,,,7.767868891,4.891952313,,,7.397832508,4.866988646
,,,,7.850317316,4.89816155,,,7.43120449,4.876872738
,,,,7.932765741,4.904814304,,,7.506782212,4.862828035
,,,,7.987731357,4.908805956,,,7.561747829,4.824981257
,,,,,,,,7.554877127,4.874211636
,,,,,,,,7.644196254,4.791273971
,,,,,,,,7.726644679,4.759784269
,,,,,,,,7.809093103,4.727851051
,,,,,,,,7.891541528,4.695917832
,,,,,,,,7.967119251,4.666645715
